Record,Date,LOC Time,Articulo,Estado Camara,Comunicacion ChronosE,ResultadoE,Comunicacion ChronosC,ResultadoC,Pieza controlada
247, 8/26/2024, 8:48:34,1948860,0,0,1,1,1,0
248, 8/26/2024, 8:48:45,1948860,0,1,0,1,1,1
249, 8/26/2024, 8:51:44,1948860,0,0,0,0,1,0
250, 8/26/2024, 8:51:56,1948860,0,1,0,0,1,1
251, 8/26/2024, 8:55:27,1948860,0,0,1,1,1,0
252, 8/26/2024, 8:55:45,1948860,0,1,0,1,1,1
253, 8/26/2024, 8:59:08,1948860,0,0,0,0,1,0
254, 8/26/2024, 8:59:20,1948860,0,1,0,0,1,1
255, 8/26/2024, 9:03:02,1948860,0,0,1,1,1,0
256, 8/26/2024, 9:03:09,1948860,0,1,0,1,1,0
257, 8/26/2024, 9:06:00,1948860,0,0,1,1,1,0
258, 8/26/2024, 9:06:11,1948860,0,1,0,1,1,0
