Record,Date,LOC Time,Articulo,Estado Camara,Estado Estampado,Comunicacion Chronos,Resultado,Estado Controles
       215, 8/21/2024, 1:34:54,          0,1,0,1,1,1
       216, 8/21/2024, 1:35:11,          0,1,1,0,1,1
       217, 8/21/2024, 1:39:56,          0,1,0,0,0,1
       218, 8/21/2024, 1:40:26,          0,1,1,0,0,1
       219, 8/21/2024, 1:44:37,          0,1,0,0,0,1
       220, 8/21/2024, 1:44:48,          0,1,1,0,0,1
       221, 8/21/2024, 1:47:55,          0,1,0,0,0,1
       222, 8/21/2024, 1:48:25,          0,1,1,0,0,1
       223, 8/21/2024, 1:52:16,          0,1,0,1,1,1
       224, 8/21/2024, 1:52:27,          0,1,1,0,1,1
       225, 8/21/2024, 1:55:48,          0,1,0,1,1,1
       226, 8/21/2024, 1:55:59,          0,1,1,0,1,1
       227, 8/21/2024, 1:58:47,          0,1,0,1,1,1
       228, 8/21/2024, 1:59:30,          0,1,1,0,1,1
       229, 8/21/2024, 2:02:39,          0,1,0,1,1,1
       230, 8/21/2024, 2:02:51,          0,1,1,0,1,1
       231, 8/21/2024, 2:05:47,          0,1,0,0,0,1
       232, 8/21/2024, 2:06:01,          0,1,1,0,0,1
       233, 8/21/2024, 2:22:45,          0,1,0,0,0,1
       234, 8/21/2024, 2:23:01,          0,1,1,0,0,1
       235, 8/21/2024, 2:26:13,          0,1,0,1,1,1
       236, 8/21/2024, 2:26:27,          0,1,1,0,1,1
       237, 8/21/2024, 2:30:04,          0,1,0,1,1,1
       238, 8/21/2024, 2:30:42,          0,1,1,0,1,1
       239, 8/21/2024, 2:34:16,          0,1,0,1,1,1
       240, 8/21/2024, 2:34:35,          0,1,1,0,1,1
       241, 8/21/2024, 2:39:24,          0,1,0,1,1,1
       242, 8/21/2024, 2:39:37,          0,1,1,0,1,1
       243, 8/21/2024, 2:45:45,          0,1,0,1,1,1
       244, 8/21/2024, 2:46:06,          0,1,1,0,1,1
       245, 8/21/2024, 2:49:33,          0,1,0,1,1,1
       246, 8/21/2024, 2:49:41,          0,1,0,0,1,1
       247, 8/21/2024, 4:15:09,          0,1,0,1,1,1
       248, 8/21/2024, 4:15:24,          0,1,1,0,1,1
       249, 8/21/2024, 4:17:56,          0,1,0,1,1,1
       250, 8/21/2024, 4:18:14,          0,1,1,0,1,1
       251, 8/21/2024, 4:37:47,          0,1,0,0,0,1
       252, 8/21/2024, 4:37:59,          0,1,1,0,0,1
       253, 8/21/2024, 4:39:49,          0,1,1,0,0,1
       254, 8/21/2024, 4:40:01,          0,1,0,0,0,1
       255, 8/21/2024, 4:41:52,          0,1,0,0,0,1
       256, 8/21/2024, 4:42:05,          0,1,1,0,0,1
       257, 8/21/2024, 4:44:09,          0,1,0,1,1,1
       258, 8/21/2024, 4:44:18,          0,1,1,0,1,1
       259, 8/21/2024, 4:46:26,          0,1,0,1,1,1
       260, 8/21/2024, 4:46:34,          0,1,1,0,1,1
       261, 8/21/2024, 4:48:32,          0,1,0,1,1,1
       262, 8/21/2024, 4:48:44,          0,1,1,0,1,1
       263, 8/21/2024, 4:57:06,          0,1,0,1,1,1
       264, 8/21/2024, 4:57:18,          0,1,1,0,1,1
       265, 8/21/2024, 4:59:35,          0,1,0,1,1,1
       266, 8/21/2024, 4:59:54,          0,1,1,0,1,1
       267, 8/21/2024, 5:02:30,          0,1,0,1,1,1
       268, 8/21/2024, 5:02:43,          0,1,0,0,1,1
       269, 8/21/2024, 5:13:18,          0,1,0,1,1,1
       270, 8/21/2024, 5:13:29,          0,1,1,0,1,1
       271, 8/21/2024, 5:15:16,          0,1,0,1,1,1
       272, 8/21/2024, 5:15:44,          0,1,0,0,1,1
       273, 8/21/2024, 5:17:24,          0,1,0,1,1,1
       274, 8/21/2024, 5:17:34,          0,1,1,0,1,1
       275, 8/21/2024, 5:19:28,          0,1,0,1,1,1
       276, 8/21/2024, 5:19:40,          0,1,1,0,1,1
       277, 8/21/2024, 5:21:58,          0,1,0,1,1,1
       278, 8/21/2024, 5:22:10,          0,1,1,0,1,1
       279, 8/21/2024, 5:24:09,          0,1,0,1,1,1
       280, 8/21/2024, 5:24:22,          0,1,1,0,1,1
       281, 8/21/2024, 5:35:10,          0,1,0,1,1,1
       282, 8/21/2024, 5:35:22,          0,1,1,0,1,1
       283, 8/21/2024, 5:38:41,          0,1,0,1,1,1
       284, 8/21/2024, 5:38:53,          0,1,1,0,1,1
       285, 8/21/2024, 5:41:31,          0,1,0,1,1,1
       286, 8/21/2024, 5:41:43,          0,1,0,0,1,1
       287, 8/21/2024, 7:52:29,          0,1,0,1,1,1
       288, 8/21/2024, 7:52:43,          0,1,0,0,1,1
       289, 8/21/2024, 7:54:51,          0,1,0,1,1,1
       290, 8/21/2024, 7:55:03,          0,1,1,0,1,1
       291, 8/21/2024, 7:57:40,          0,1,1,0,0,1
       292, 8/21/2024, 7:58:15,          0,1,1,0,0,1
       293, 8/21/2024, 7:59:33,          0,1,1,0,0,1
       294, 8/21/2024, 7:59:45,          0,1,1,0,0,1
       295, 8/21/2024, 8:03:49,          0,1,0,1,1,1
       296, 8/21/2024, 8:04:01,          0,1,1,0,1,1
       297, 8/21/2024, 8:05:50,          0,1,0,0,0,1
       298, 8/21/2024, 8:06:03,          0,1,1,0,0,1
       299, 8/21/2024, 8:13:03,          0,1,0,1,1,1
       300, 8/21/2024, 8:13:15,          0,1,1,0,1,1
       301, 8/21/2024, 8:16:34,          0,1,0,1,1,1
       302, 8/21/2024, 8:16:47,          0,1,0,0,1,1
       303, 8/21/2024, 8:18:24,          0,1,0,0,0,1
       304, 8/21/2024, 8:18:36,          0,1,0,0,0,1
       305, 8/21/2024, 8:22:48,          0,1,0,0,0,1
       306, 8/21/2024, 8:22:56,          0,1,1,0,0,1
       307, 8/21/2024, 8:24:51,          0,1,0,1,1,1
       308, 8/21/2024, 8:25:04,          0,1,0,0,1,1
       309, 8/21/2024, 8:26:57,          0,1,0,1,1,1
       310, 8/21/2024, 8:27:09,          0,1,1,0,1,1
       311, 8/21/2024, 8:30:03,          0,1,0,1,1,1
       312, 8/21/2024, 8:30:14,          0,1,1,0,1,1
       313, 8/21/2024, 8:31:51,          0,1,0,1,1,1
       314, 8/21/2024, 8:32:09,          0,1,0,0,1,1
       315, 8/21/2024, 8:33:41,          0,1,0,1,1,1
       316, 8/21/2024, 8:33:55,          0,1,1,0,1,1
       317, 8/21/2024, 8:49:32,          0,1,0,0,0,1
       318, 8/21/2024, 8:49:41,          0,1,0,0,0,1
       319, 8/21/2024, 8:51:05,          0,1,0,1,1,1
       320, 8/21/2024, 8:51:17,          0,1,1,0,1,1
       321, 8/21/2024, 8:53:14,          0,1,0,0,0,1
       322, 8/21/2024, 8:53:30,          0,1,1,0,0,1
       323, 8/21/2024, 8:56:23,          0,1,0,1,1,1
       324, 8/21/2024, 8:56:35,          0,1,1,0,1,1
       325, 8/21/2024, 9:02:06,          0,1,0,1,1,1
       326, 8/21/2024, 9:02:17,          0,1,0,0,1,1
       327, 8/21/2024, 9:04:14,          0,1,0,1,1,1
       328, 8/21/2024, 9:04:26,          0,1,1,0,1,1
       329, 8/21/2024, 9:06:15,          0,1,0,1,1,1
       330, 8/21/2024, 9:06:30,          0,1,1,0,1,1
       331, 8/21/2024, 9:08:06,          0,1,0,1,1,1
       332, 8/21/2024, 9:08:20,          0,1,1,0,1,1
       333, 8/21/2024, 9:12:02,          0,1,0,0,0,1
       334, 8/21/2024, 9:13:51,          0,1,0,1,1,1
       335, 8/21/2024, 9:14:13,          0,1,1,0,1,1
       336, 8/21/2024, 9:16:36,          0,1,0,1,1,1
       337, 8/21/2024, 9:16:44,          0,1,1,0,1,1
       338, 8/21/2024, 9:19:14,          0,1,0,1,1,1
       339, 8/21/2024, 9:20:24,          0,1,1,0,1,1
       340, 8/21/2024, 9:26:34,          0,1,0,1,1,1
       341, 8/21/2024, 9:26:48,          0,1,1,0,1,1
       342, 8/21/2024, 9:29:42,          0,1,0,1,1,1
       343, 8/21/2024, 9:30:12,          0,1,1,0,1,1
       344, 8/21/2024, 9:33:50,          0,1,0,1,1,1
       345, 8/21/2024, 9:34:22,          0,1,1,0,1,1
       346, 8/21/2024, 9:36:10,          0,1,0,1,1,1
       347, 8/21/2024, 9:36:27,          0,1,0,0,1,1
       348, 8/21/2024, 9:38:15,          0,1,0,0,0,1
       349, 8/21/2024, 9:38:31,          0,1,1,0,0,1
       350, 8/21/2024, 9:40:10,          0,1,0,0,0,1
       351, 8/21/2024, 9:40:26,          0,1,1,0,0,1
       352, 8/21/2024, 9:45:58,          0,1,0,1,1,1
       353, 8/21/2024, 9:46:15,          0,1,0,0,1,1
       354, 8/21/2024,10:00:17,          0,1,0,0,0,1
       355, 8/21/2024,10:00:29,          0,1,1,0,0,1
       356, 8/21/2024,10:03:53,          0,1,0,1,1,1
       357, 8/21/2024,10:04:10,          0,1,1,0,1,1
       358, 8/21/2024,10:41:33,          0,1,0,0,0,1
       359, 8/21/2024,10:42:36,          0,1,1,0,0,1
       360, 8/21/2024,10:53:01,          0,1,1,0,0,1
       361, 8/21/2024,10:53:16,          0,1,1,0,0,1
       362, 8/21/2024,10:56:45,          0,1,0,1,1,1
       363, 8/21/2024,10:57:00,          0,1,1,0,1,1
       364, 8/21/2024,12:11:48,          0,1,0,1,1,1
       365, 8/21/2024,12:32:03,          0,1,0,1,1,1
       366, 8/21/2024,12:51:47,          0,1,0,1,1,1
       367, 8/21/2024,12:52:02,          0,1,0,0,1,1
       368, 8/21/2024,12:53:37,          0,1,0,1,1,1
       369, 8/21/2024,12:55:33,          0,1,1,0,0,1
       370, 8/21/2024,12:55:45,          0,1,1,0,0,1
       371, 8/21/2024,12:57:32,          0,1,0,0,0,1
       372, 8/21/2024,12:57:43,          0,1,0,0,0,1
       373, 8/21/2024,12:59:44,          0,1,0,1,1,1
       374, 8/21/2024,12:59:59,          0,1,0,0,1,1
